,station,date,E. Coli,month,Watershed
224575,PMS01,2008-01-14,25.0,1,Potomac Mainstem
224576,PMS01,2008-02-11,30.0,2,Potomac Mainstem
224577,PMS01,2008-03-03,1.0,3,Potomac Mainstem
224578,PMS01,2008-04-07,23.0,4,Potomac Mainstem
224579,PMS01,2008-06-09,70.0,6,Potomac Mainstem
224580,PMS01,2008-07-07,58.0,7,Potomac Mainstem
224581,PMS01,2008-08-11,4.0,8,Potomac Mainstem
224582,PMS01,2008-09-02,32.0,9,Potomac Mainstem
224583,PMS01,2008-10-06,38.0,10,Potomac Mainstem
224584,PMS01,2008-11-17,36.0,11,Potomac Mainstem
224585,PMS01,2008-12-15,816.0,12,Potomac Mainstem
224586,PMS01,2009-02-09,1.0,2,Potomac Mainstem
224587,PMS01,2009-04-13,8.0,4,Potomac Mainstem
224588,PMS01,2009-05-11,82.0,5,Potomac Mainstem
224589,PMS01,2009-06-15,36.0,6,Potomac Mainstem
224590,PMS01,2009-07-13,8.0,7,Potomac Mainstem
224591,PMS01,2009-08-10,21.0,8,Potomac Mainstem
224592,PMS01,2009-09-14,6.0,9,Potomac Mainstem
224593,PMS01,2009-10-05,13.0,10,Potomac Mainstem
224594,PMS01,2009-11-16,101.0,11,Potomac Mainstem
224595,PMS01,2009-12-07,79.0,12,Potomac Mainstem
224596,PMS01,2010-04-12,3.0,4,Potomac Mainstem
224597,PMS01,2010-05-10,12.0,5,Potomac Mainstem
224598,PMS01,2010-06-21,10.0,6,Potomac Mainstem
224599,PMS01,2010-08-23,22.0,8,Potomac Mainstem
224600,PMS01,2010-10-18,23.0,10,Potomac Mainstem
224601,PMS01,2010-11-15,8.0,11,Potomac Mainstem
224602,PMS01,2011-03-07,980.0,3,Potomac Mainstem
224603,PMS01,2011-05-16,96.0,5,Potomac Mainstem
224604,PMS01,2011-06-20,411.0,6,Potomac Mainstem
224605,PMS01,2011-07-11,24.0,7,Potomac Mainstem
224606,PMS01,2011-08-15,167.0,8,Potomac Mainstem
224607,PMS01,2011-09-12,387.0,9,Potomac Mainstem
224608,PMS01,2011-10-11,24.0,10,Potomac Mainstem
224609,PMS01,2011-11-14,12.0,11,Potomac Mainstem
224610,PMS01,2011-12-12,816.0,12,Potomac Mainstem
224611,PMS01,2012-01-09,4.0,1,Potomac Mainstem
224612,PMS01,2012-02-06,12.0,2,Potomac Mainstem
224613,PMS01,2012-03-12,10.0,3,Potomac Mainstem
224614,PMS01,2012-04-09,12.0,4,Potomac Mainstem
224615,PMS01,2012-05-07,15.0,5,Potomac Mainstem
224616,PMS01,2012-06-18,47.0,6,Potomac Mainstem
224617,PMS01,2012-07-16,10.0,7,Potomac Mainstem
224618,PMS01,2012-08-13,20.0,8,Potomac Mainstem
224619,PMS01,2012-09-10,60.0,9,Potomac Mainstem
224620,PMS01,2012-10-09,21.0,10,Potomac Mainstem
224621,PMS01,2012-12-10,18.0,12,Potomac Mainstem
244347,PMS01,2014-02-10,59,2,Potomac Mainstem
244361,PMS01,2014-03-10,4,3,Potomac Mainstem
244395,PMS01,2014-04-07,8,4,Potomac Mainstem
244432,PMS01,2014-05-12,24,5,Potomac Mainstem
244491,PMS01,2014-06-16,792,6,Potomac Mainstem
244513,PMS01,2014-07-07,14,7,Potomac Mainstem
244581,PMS01,2014-08-18,15,8,Potomac Mainstem
244597,PMS01,2014-09-08,225,9,Potomac Mainstem
244639,PMS01,2014-10-06,411,10,Potomac Mainstem
244692,PMS01,2014-11-17,28,11,Potomac Mainstem
244728,PMS01,2014-12-08,62,12,Potomac Mainstem
248813,PMS01,2013-01-14,22,1,Potomac Mainstem
248870,PMS01,2013-02-11,15,2,Potomac Mainstem
248920,PMS01,2013-03-11,1,3,Potomac Mainstem
248979,PMS01,2013-04-08,4,4,Potomac Mainstem
249029,PMS01,2013-05-06,8,5,Potomac Mainstem
249157,PMS01,2013-08-12,11,8,Potomac Mainstem
249208,PMS01,2013-09-09,7,9,Potomac Mainstem
249293,PMS01,2013-11-12,10,11,Potomac Mainstem
251703,PMS01,2015-01-12,25,1,Potomac Mainstem
251739,PMS01,2015-02-09,4,2,Potomac Mainstem
251779,PMS01,2015-03-09,107,3,Potomac Mainstem
251791,PMS01,2015-04-06,64,4,Potomac Mainstem
251882,PMS01,2015-05-18,365,5,Potomac Mainstem
251963,PMS01,2015-06-15,770,6,Potomac Mainstem
252016,PMS01,2015-07-06,119,7,Potomac Mainstem
252148,PMS01,2015-08-17,3,8,Potomac Mainstem
252216,PMS01,2015-09-14,186,9,Potomac Mainstem
252294,PMS01,2015-10-13,44,10,Potomac Mainstem
252347,PMS01,2015-11-09,16,11,Potomac Mainstem
252364,PMS01,2015-12-07,73,12,Potomac Mainstem
252882,PMS01,2016-01-11,1046,1,Potomac Mainstem
252919,PMS01,2016-02-08,120,2,Potomac Mainstem
252935,PMS01,2016-03-07,4,3,Potomac Mainstem
252996,PMS01,2016-04-11,19,4,Potomac Mainstem
253013,PMS01,2016-05-09,110,5,Potomac Mainstem
253041,PMS01,2016-06-06,192,6,Potomac Mainstem
253144,PMS01,2016-08-08,6,8,Potomac Mainstem
253193,PMS01,2016-09-12,11,9,Potomac Mainstem
253238,PMS01,2016-10-11,16,10,Potomac Mainstem
